Time,Side,Price,RSI,date,Reason,PnL_%
2025-09-19 09:31:00-04:00,BUY,175.8552,0.0,2025-09-19,,
2025-09-19 10:06:00-04:00,SELL,177.3795,65.52,2025-09-19,RSI>65,0.867
2025-09-23 13:36:00-04:00,BUY,177.8206,17.93,2025-09-23,,
2025-09-23 15:01:00-04:00,SELL,178.3543,66.24,2025-09-23,RSI>65,0.3
2025-09-24 09:31:00-04:00,BUY,179.1758,0.0,2025-09-24,,
2025-09-24 12:09:00-04:00,SELL,175.5249,18.44,2025-09-24,STOP,-2.038
2025-09-24 12:11:00-04:00,BUY,175.5801,19.62,2025-09-24,,
2025-09-24 13:07:00-04:00,SELL,176.7396,67.39,2025-09-24,RSI>65,0.66
2025-09-25 14:03:00-04:00,BUY,175.6702,18.61,2025-09-25,,
2025-09-25 14:25:00-04:00,SELL,177.0346,66.73,2025-09-25,RSI>65,0.777
